Links,Title,Address,Price,Floor,Living area,Rooms
https://www.otodom.pl/pl/oferta/krakow-czyzyny-2-pok-garaz-blok-cegla-8-letnie-ID4xYpj,"Kraków/Czyżyny 2 Pok.Garaż,Blok Cegła,8-Letnie","ul. Sołtysowska, Łęg, Czyżyny, Kraków, małopolskie",610000.0,1 piętro,33.91,2 pokoje
https://www.otodom.pl/pl/oferta/mieszkanie-nad-zalewem-z-balkonem-ID4xYp7,Mieszkanie nad zalewem z balkonem,"ul. Gliniana, Płaszów, Podgórze, Kraków, małopolskie",799000.0,parter,56.0,4 pokoje
https://www.otodom.pl/pl/oferta/mieszkanie-2-3-pokojowe-z-duzym-tarasem-28m2-ID4xYon,Mieszkanie 2-3 pokojowe z dużym tarasem - 28m2!,"Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",885000.0,parter,55.71,2 pokoje
https://www.otodom.pl/pl/oferta/2-pokojowe-po-generalnym-remoncie-z-balkonem-ID4xYo4,2-pokojowe po generalnym remoncie z balkonem,"os. Dywizjonu 303 303, Czyżyny, Czyżyny, Kraków, małopolskie",710000.0,2 piętro,42.5,2 pokoje
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-bezposrednio-ID4xYkC,Sprzedam mieszkanie bezpośrednio,"ul. Brązownicza, Małe Błonia, Krowodrza, Kraków, małopolskie",1200000.0,parter,57.4,2 pokoje
https://www.otodom.pl/pl/oferta/3-pokojowe-50metrowe-ladne-zadbane-funkcjonalne-ID4xYjj,3 pokojowe-50metrowe-ładne-zadbane- funkcjonalne,"ul. Okólna, Kozłówka, Bieżanów-Prokocim, Kraków, małopolskie",669000.0,3 piętro,50.0,3 pokoje
https://www.otodom.pl/pl/oferta/olsza-mlynska-supoer-2-pok-jk-balkon-ID4xYfk,"Olsza-Młyńska, supoer 2 pok-jk, balkon","Olsza, Prądnik Czerwony, Kraków, małopolskie",595000.0,3 piętro,44.9,2 pokoje
https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-3-pokojowe-52-9-m-ID4xYek,"Na sprzedaż: mieszkanie 3-pokojowe, 52,9 m²","ul. Leonida Teligi, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",699000.0,9 piętro,52.9,3 pokoje
https://www.otodom.pl/pl/oferta/urzadzona-nowa-kawalerka-bonarka-ID4xYe6,URZĄDZONA Nowa kawalerka | Bonarka |,"Stare Podgórze, Podgórze, Kraków, małopolskie",250000.0,poddasze,25.5,1 pokój
https://www.otodom.pl/pl/oferta/2-pok-nowoczesny-apartament-z-klimatyzacja-w-srodmiesciu-2parking-ID4xYe5,"2-pok, nowoczesny apartament z klimatyzacją w Śródmieściu + 2*parking","ul. Mogilska, Rakowice, Prądnik Czerwony, Kraków, małopolskie",729000.0,3 piętro,35.0,2 pokoje
